"Timestamp","Es plānoju samazināt pārtikas atkritumus mājsaimniecībā","Kādā veidā Jūs samaziniet savu atkritumu daudzumu?","Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.","Kāda ir Jūsu uztura izvēle?","Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?","Vai varat īsi paskaidrot, kāpēc izvēlējāties iepriekš minētās darbības? (īsi pamatot, piemēram, ēst vairāk sezonālo augļu un dārzeņu, jo tie ir lētāki).","Kāda veida transportlīdzekļus Jūs izmantojat?","Ja esat automašīnas īpašnieks, kuru no minētajām iespējām Jūs izvēlētos, lai būtu videi draudzīgāks?","Kāpēc neizvēlējāties kādu rīcību no augšā minētajām?","Kurš no sekojošiem apgalvojumiem Jums ir tuvāks?","Kuras no sekojošām darbībām Jūs pārsvarā veicat ar informācijas un komunikācijas tehnoloģiju (IKT) ierīcēm (telefona, datora, televizora u.c.) un to lietošanu?","Kādas darbības Jūs mēģinat veikt, lai samazinātu enerģijas patēriņu?","Ja neveicat kādu no šīm darbībām, kāpēc ne?","Kādā mājokļa tipā Jūs dzīvojat?","Ja Jūsu izvēle nav saistīta ar financēm, kāpēc Jūs izvēlējāties šo mājokļa tipu?","Vai Jūs atteiktos no liekas mājokļa platības?","Kāpēc?","Vai Jūs būtu ar mieru dzīvot koplietojamā mājoklī?","Kāpēc?","Vai Jūsu dzīvesvieta ir papildus nosiltināta?","Ja atbildējāt ""nē"", paskaidrojiet, kāpēc?","Kurš no apgalvojumiem atbilst Jūsu dzīves situācijai?","Kurš no šiem apgalvojumiem ir patiess par Jūsu mājdzīvniekiem?","Kurš no apgalvojumiem par pārvietošanos brīvdienās un atvaļinājumos Jums ir patiess?","Kāpēc?","Kurš no šiem apgalvojumiem par apģērbu un apavu iegādi attiecas uz Jums?","Kurš no apgalvojumiem par Jums ir patiess?","Kāds ir Jūsu dzimums?","Kāds ir Jūsu vecums?","Kāds ir augstākais Jūsu iegūtais izglītības līmenis?"," Kurš no šiem variantiem atspoguļo Jūsu mājsaimniecības ikmēneša neto ienākumus?","Kāds ir Jūsu pašreizējais nodarbinātības statuss?","Kāda ir Jūsu dzīvesvieta?"
"2024/02/23 8:07:25 PM GMT+2","Nē","Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.)","Nē, es neuzskatu, ka tas ir droši","Esmu visēdājs","Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Neesmu īsti gatavs mainīt uzturā pielietojamo produkciju. ","Personīgais transportlīdzeklis, ar kuru pats braucu;Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Velosipēds;Staigāju ar kājām","Iegādātos mazāku automašīnu;Izmantotu kopbraukšanu (carsharing);Biežāk izmantotu sabiedrisko transportu","Nav nauda, navaru atļauties sakarīgu elektro-auto.","Es strādāju hibrīdi (gan klātienē, gan attālināti)","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu savas istabas temperatūru;Es izmantoju energoefektīvu apgaismojumu (LED);Es nomainīju visas energoietilpīgas ierīces ar energoefektīvām (A+, A un B klašu tehniku);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā","No dzīves ērtības viedokļa.","Dzīvoklī","No ērtību viedokļa.","Nē","Kapēc?","Nē","PSSR laiki par laimi ir beigušies.","Jā","","Es apsildu māju ar dabasgāzi;Es nezinu, ar ko tiek apsildīta mana māja","Man nav mājdzīvnieku","Nedēļas nogalēs ļoti maz ceļoju ar lidmašīnu","Nav $$$","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Nēsāju vienu un to pašu apģērbu jau vairākus gadus un neplānoju tuvakajā nākotnē to mainīt;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Nevēlos izpaust","31-40 gadi","Vidusskola","Nevēlos izpaust","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/23 9:11:59 PM GMT+2","Jā","Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.);Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Dzeru gan ūdeni gan pārējo","Esmu visēdājs","Samazināt savā uzturā dzīvnieku izcelsmes produktus;Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Izvēlos ēst veselīgāk","Personīgais transportlīdzeklis, ar kuru pats braucu;Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.)","Parastās automašīnas vietā iegādātos elektromašīnu","","Es strādāju hibrīdi (gan klātienē, gan attālināti)","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es izmantoju energoefektīvu apgaismojumu (LED);Es nomainīju visas energoietilpīgas ierīces ar energoefektīvām (A+, A un B klašu tehniku)","","Privātmājā","Privātums,  savā teritorijā ap māju, svaigs gaiss","Nē","","Nē","Svarīga privātā telpa","Nezinu","","Es uzstādīju saules paneļus;Es kurinu ar ogli un/vai kokogli","Pērku to kas garšo kaķim","Dodos ceļojumos gan ar auto gan lidmašinu","","Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es pērku preces ar īpašu akciju, kur daļa no preces cenas aiziet ziedojumam videi","Sieviete","41-50 gadi","Profesionālā izglītība","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Pilna slodze","Piepilsēta"
"2024/02/23 9:18:24 PM GMT+2","Nē","Kompostēju pāri palikušo ēdienu","Nē, es negribu to darīt","Esmu visēdājs","Nē, neviens no šiem variantiem nešķiet piemērots","Nevēlos ar neko sevi ierobežot. Jādzīvo ir šodien, jo dzive ir tikai viena!!!","Personīgais transportlīdzeklis, ar kuru pats braucu","Nevelos neko mainīt","Jo dzīve ir viena un par to ir jāpriecājas.","Manā apkārtnē nav darba vietas vai mācību iestādes, tāpēc braucu tālu","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es nedaru neko no minētā","","Privātmājā","Brīviba","Nē","Komfota deļ.","Nē","Tapec tās sausc par mājām, kur ir tikai ģimene.","Nē","Jo siltināšanas izmaksas atmaksāsies pec 50 gadiem. (Aprēķināts)","Ar granulām","Perku lielā iepakojumā","Maz celoju, bet ja jā tad ar auto","","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es pērku jaunas drēbes lietotu preču veikalā, atkārtoti izmantoju apģērbu, ja tie ir labā stāvoklī;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","31-40 gadi","Vidusskola","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Pilna slodze","Piepilsēta"
"2024/02/23 9:27:00 PM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.);Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus;Kompostēju pāri palikušo ēdienu","Dzeru visu","Esmu visēdājs","Ēst vairāk sezonālos dārzeņus un augļus","Jo audzējam paši un konservējam","Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Velosipēds","Brauktu ar dabasgāzi","Jo izvēlējos citu. Auto jāiegādā konkrētām vajadzībām un jābūt vienmēr pieejamam","Es strādāju hibrīdi (gan klātienē, gan attālināti)","Es pērku ierīces ar nelielu defektu vai bojājumu, salaboju to un lietoju;Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam","Es izmantoju energoefektīvu apgaismojumu (LED);Es nomainīju visas energoietilpīgas ierīces ar energoefektīvām (A+, A un B klašu tehniku);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā","","Privātmājā","Neatkarība","Nē","Mājoklis jāizvēlas atbilstoši dzīvesveidam","Nē","","Daļēji, esam procesā","","Es nomainīju apkures sistēmu uz biomasas apkures katlu","Es izmantoju tikai videi draudzīgu tualetes pildījumu","Es dodos atvaļinājumā ar automašīnu nevis lidmašīnu;Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās","","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Nēsāju vienu un to pašu apģērbu jau vairākus gadus un neplānoju tuvakajā nākotnē to mainīt","Es veicu ieguldījumus ekoloģiskās un ētiskās zaļajās finansēs","Vīrietis","41-50 gadi","Augtākā izglītība, maģistrs","Nevēlos izpaust","Darbinieks: Pilna slodze","Piepilsēta"
"2024/02/23 9:32:08 PM GMT+2","Nē","Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Jā, es to jau daru","Esmu visēdājs","Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus","Palielinot augļu un dārzeņu dienas devu iespējams uzņemt vajdzīgos vitamīnus un minerālvielas","Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Vilciens;Velosipēds;Staigāju ar kājām","","","Es izvēlējos dzīvesvietu netālu no sava darba vai mācību iestādes","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu savas istabas temperatūru","","Dzīvoklī","","Nē","Dzīvojamā platība nekad nevar būt par daudz","Nē","Patīk sava kārtība","Nē","Nezinu, acīmredzot nav vēl izstrādāt siltināšanas projekts daudzdzīvokļu mājai","Es apsildu māju ar elektroenerģiju","Man nav mājdzīvnieku","Nedēļas nogalēs ļoti maz ceļoju ar lidmašīnu","Nedēļas nogale ir pārāk īsa lai kaut kur dotos ar lidmašīnu","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","21-30 gadi","Augtākā izglītība, maģistrs","No 601 EUR līdz 1500 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/23 10:44:26 PM GMT+2","Jā","Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.)","Nē, es neuzskatu, ka tas ir droši","Esmu visēdājs","Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","","Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.)","Parastās automašīnas vietā iegādātos elektromašīnu","","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es izmantoju energoefektīvu apgaismojumu (LED)","","Privātmājā","","Jā","","Nē","","Jā","","Es apsildu māju ar dabasgāzi","Man nav mājdzīvnieku","Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās","","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas","Nepērkot preces, es tērēju vairāk naudas nesaistītām aktivitātēm","Vīrietis","61-70 gadi","Augtākā izglītība, bakalaurs","No 3 001 EUR līdz 4 500 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/23 10:59:39 PM GMT+2","Jā","Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.);Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Nē, es neuzskatu, ka tas ir droši","Esmu visēdājs","Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Uzskatu, ka sezonālie augļi vai dārzeņi ir veselīgāki","Personīgais transportlīdzeklis, ar kuru pats braucu;Staigāju ar kājām","Iegādātos mazāku automašīnu","Izvēlējos","Es izvēlējos dzīvesvietu netālu no sava darba vai mācību iestādes","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam","Es samazinu savas istabas temperatūru;Es izmantoju energoefektīvu apgaismojumu (LED);Es nomainīju visas energoietilpīgas ierīces ar energoefektīvām (A+, A un B klašu tehniku)","","Privātmājā","Patīk neatkarība, varu saimniekot kā patīk","Jā","Varbūt ar laiku, samainītu uz mazāku platību, lai ekonomētu finanšu līdzekļus","Nē","Vēlos saglabāt komfortu","Jā","","Es apsildu māju ar dabasgāzi","Man nav mājdzīvnieku","Nedēļas nogalēs ļoti maz ceļoju ar lidmašīnu","Ceļojumu plānoju vienreiz gadā","Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es samazinu savu darba laiku un patēriņu precēm;Es pērku preces ar īpašu akciju, kur daļa no preces cenas aiziet ziedojumam videi","Sieviete","51-60 gadi","Augtākā izglītība, bakalaurs","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/24 8:20:21 AM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.)","Jā, es to jau daru","Esmu visēdājs","Samazināt savā uzturā dzīvnieku izcelsmes produktus;Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus","Vēlos uzturēt ekoloģiski draudzīgāku dzīvesveidu","Personīgais transportlīdzeklis, ar kuru pats braucu;Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.)","Iegādātos mazāku automašīnu","Nav nepieciešamības pēc kopbraukšanas vai elektriskā traansportlīdzekļa, un sabiedriskais transports nekursē tur, kur braucu ar mašīnu.","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu savas istabas temperatūru;Es samazinu izmantotā karstā ūdens daudzumu;Es izmantoju energoefektīvu apgaismojumu (LED);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā","Uzskatu, ka manas veiktās darbības ir pietiekoši samazina enerģijas patēriņu.","Privātmājā","Cilvēku skaits ģimenē","Nē","Lielāka platība rada labāku komfortu.","Nē","Cilvēku skaits ģimenē neatļauj ievākties koplietojamā mājoklī.","Jā","","Es apsildu māju ar dabasgāzi","Man nav mājdzīvnieku","Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās","Mazāk izbraucu nedēļas beigās.","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Nēsāju vienu un to pašu apģērbu jau vairākus gadus un neplānoju tuvakajā nākotnē to mainīt","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","41-50 gadi","Augtākā izglītība, bakalaurs","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/24 8:24:55 AM GMT+2","Nē","Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Nē, es neuzskatu, ka tas ir droši","Esmu visēdājs","Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Vairāk garšo organiski audzēta pārtika.","Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Vilciens;Staigāju ar kājām","","Nepieder mašīna","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Es vienkārši izmetu savu veco ierīci","Es samazinu savas istabas temperatūru;Es izmantoju energoefektīvu apgaismojumu (LED)","Neuzskatu, ka tas nepieciešams","Privātmājā","Kur dzimis, tur audzis","Nē","Jūtos komfortabls savā mājoklī","Nē","Jo ir privāts mājoklis","Jā","","Es apsildu māju ar elektroenerģiju","Man nav mājdzīvnieku","Pēdējos gados neceļoju","Pēdējos gados neceļoju","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","21-30 gadi","Profesionālā izglītība","No 601 EUR līdz 1500 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/24 12:31:15 PM GMT+2","Nē","Neuzskatu, ka tas ir nepieciešams","Jā, bet es papildus lietošu ūdens attīrītāju","Esmu visēdājs","Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","","Personīgais transportlīdzeklis, ar kuru pats braucu;Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Staigāju ar kājām","Parastās automašīnas vietā iegādātos elektromašīnu;Biežāk izmantotu sabiedrisko transportu","","Es strādāju attālināti","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es izmantoju energoefektīvu apgaismojumu (LED)","","Dzīvoklī","","Nē","","Nē","","Nē","","Es nezinu, ar ko tiek apsildīta mana māja","Pērku lētāko","Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās","","Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Sieviete","51-60 gadi","Augtākā izglītība, bakalaurs","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/24 12:36:50 PM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Izmantoju produktus ar minimālo iepakojumu, bez tā vai pārstrādājamo iepakojumu (papīrs, kartons u.c.);Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus;Kompostēju pāri palikušo ēdienu","Jā, bet es papildus lietošu ūdens attīrītāju","Esmu visēdājs","Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Lai netērēt vairāk naudas","Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Sabiedriskais transports - autobuss, trolejbuss, tramvajs;Staigāju ar kājām","Šobrīd valstī nav man atbilstošas alternatīvas","Mana dzīve nav iespējama bez personiskā auto, taču iegādāties elektroauto nav izdevīgi ","Es strādāju hibrīdi (gan klātienē, gan attālināti)","Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu savas istabas temperatūru;Es izmantoju energoefektīvu apgaismojumu (LED);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā","","Privātmājā","Dzīves sapnis","Jā","Nav lietderīgi ","Nē","Vēlos savu vietu","Jā","","Es apsildu māju ar dabasgāzi","Pērku to barību, kas atbilst mana dzīvnieka vajadzībām ","Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās","Lai vairāk pastaigāties ","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Sieviete","31-40 gadi","Augtākā izglītība, maģistrs","No 1 501 EUR līdz 3 000 EUR","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/24 12:39:31 PM GMT+2","Jā","Lietoju vairākreiz lietojamus produktus;Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Nē, man nepatīk garša","Esmu visēdājs","Ēst vairāk bioloģiskos dārzeņus un augļus;Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","","Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Velosipēds;Staigāju ar kājām","Iegādātos mazāku automašīnu;Biežāk izmantotu sabiedrisko transportu","","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam","Es samazinu savas istabas temperatūru;Es izmantoju energoefektīvu apgaismojumu (LED);Es atslēdzu daudzas ierīces no rozetēm, pirms dodos prom no mājām","","Dzīvoklī","","Nē","","Nē","","Nē","","Es nezinu, ar ko tiek apsildīta mana māja","Es pērku vienu lielu maisu ar barību vai izmantoju beziepakojuma pakalpojumus, nevis pērku vairākas mazas paciņas;Es taisu mantiņas pats no vecām lietām, dodot tām otro dzīvību","Es dodos atvaļinājumā ar automašīnu nevis lidmašīnu","","Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es samazinu savu darba laiku un patēriņu precēm;Es pērku preces ar īpašu akciju, kur daļa no preces cenas aiziet ziedojumam videi","Sieviete","41-50 gadi","Augtākā izglītība, maģistrs","Nevēlos izpaust","Atbrīvots no darba","Pilsēta"
"2024/02/24 12:41:47 PM GMT+2","Nē","Neuzskatu, ka tas ir nepieciešams","Jā, bet es papildus lietošu ūdens attīrītāju","Esmu visēdājs","Ēst vairāk sezonālos dārzeņus un augļus;Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","","Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.)","Parastās automašīnas vietā iegādātos elektromašīnu","","Man ir savs mājas birojs","Ja es pērku jaunu ierīci, es atdodu savu iepriekšējo kādam citam","Es samazinu savas istabas temperatūru;Es samazinu izmantotā karstā ūdens daudzumu;Es izmantoju energoefektīvu apgaismojumu (LED);Es nomainīju visas energoietilpīgas ierīces ar energoefektīvām (A+, A un B klašu tehniku);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā","Pārāk sarežģīti","Privātmājā","Sava teritorija","Jā","Ietaupīt uz ekspluatācijas","Nē","Esmu introverts","Jā","","Es nomainīju apkures sistēmu uz siltumsūkni;Es uzstādīju saules paneļus","Man nav mājdzīvnieku","Dodos atvaļinājuma ar lidmašīnu","Ērti un ātri","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","51-60 gadi","Augtākā izglītība, maģistrs","Nevēlos izpaust","Darbinieks: Pilna slodze","Piepilsēta"
"2024/02/24 12:44:48 PM GMT+2","Nē","Lietoju vairākreiz lietojamus produktus;Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Nē, man nepatīk garša","Esmu visēdājs","Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","Citi piedāvātie varianti man nešķiet piemēroti , jo būtiski mainīs dzīves kvalitāti, bet nespēs būtiski uzlabot vidi","Personīgais transportlīdzeklis, kurā brauc vairāki cilvēki (klienti, ģimenes locekļi, draugi u.c.);Velosipēds;Staigāju ar kājām","Iegādātos mazāku automašīnu;Biežāk izmantotu sabiedrisko transportu","A/m stāv bez darbības kamēr esmu darbā, loģiski, ka tajā laikā to var izmantot citi manas ģimenes locekļi","Es izvēlējos dzīvesvietu netālu no sava darba vai mācību iestādes","Es lietoju savu ierīci tik ilgi, līdz tā kļūs nederīga vai remontēt to ir parāk dārgi","Es nomainīju visas energoietilpīgas ierīces ar energoefektīvām (A+, A un B klašu tehniku);Es žāvēju savu veļu svaigā gaisā nevis veļas žāvētājā","","Privātmājā","","Jā","","Nē","Esam liela ģimene","Jā","","Es apsildu māju ar elektroenerģiju","Man nav mājdzīvnieku"," Vienmēr apsvēru kombināciju: laiks/nauda/komforts. Izvēlos ceļošanas veidu atkarībā no situācijas","","Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Sieviete","41-50 gadi","Augtākā izglītība, maģistrs","Nevēlos izpaust","Darbinieks: Pilna slodze","Pilsēta"
"2024/02/24 1:10:52 PM GMT+2","Nē","Nepērku produktus, kurus nelietošu vai nepaspēšu izlietot laikus","Nē, es neuzskatu, ka tas ir droši","Esmu visēdājs","Ēst tik daudz, cik vajadzīgs cilvēka organismam, lai būtu vesels","","Personīgais transportlīdzeklis, ar kuru pats braucu","Parastās automašīnas vietā iegādātos elektromašīnu","","Es izvēlos darba vietu vai mācību iestādi netālu no savas dzīvesvietas","Es vienkārši izmetu savu veco ierīci;Es nolieku veco ierīci kādā glabājamā vietā savā mājā, garažā vai pagrabā","Es samazinu savas istabas temperatūru;Es izmantoju energoefektīvu apgaismojumu (LED)","","Privātmājā","laba ekologija","Jā","dargi apsaimniekot","Nē","nav jutigi","Jā","","Es apsildu māju ar dabasgāzi","Man nav mājdzīvnieku","Nedēļas nogalēs mazāk lietoju personīgo transportlīdzekli nekā darba dienās","","Es pērku jaunas drēbes tikai tad, kad manas vecās lietas ir saplēstas;Es periodiski iegādājos jaunu apģērbu, ja man tas patīk","Es neveicu darbības, lai finansiāli atbalstīto ekoloģiskos projektus","Vīrietis","41-50 gadi","Augtākā izglītība, maģistrs","Nevēlos izpaust","Pašnodarbināts","Piepilsēta"
